Player|Innings|Overs|Maidens|Runs|Wickets|Average|Economy|StrikeRate|FourWickets|FiveWickets|Country
Shuvagata Hom|4|11|0|71|2|35.5|6.45454545454545|33|0|0|BAN
Sohag Gazi|10|35|1|299|4|74.75|8.54285714285714|52.5|0|0|BAN
Sohaib Maqsood|1|1|0|12|0|Inf|12|Inf|0|0|Pakistan
Sohail Khan|5|15|0|123|5|24.6|8.2|18|0|0|Pakistan
Sohail Tanvir|57|202.2|3|1454|54|26.9259259259259|7.18616144975288|22.4814814814815|0|0|Pakistan
Sohrawordi Shuvo|1|1|0|12|0|Inf|12|Inf|0|0|BAN
Soumya Sarkar|28|48|0|451|12|37.5833333333333|9.39583333333333|24|0|0|BAN
Sufiyan Muqeem|3|10|1|61|4|15.25|6.1|15|0|0|Pakistan
Sumon Khan|1|2|0|20|0|Inf|10|Inf|0|0|BAN
Syed Rasel|8|29|2|202|4|50.5|6.96551724137931|43.5|0|0|BAN
T Banton|||||||||||England
T Bavuma|||||||||||South Africa
T Henderson|1|4|0|31|0|Inf|7.75|Inf|0|0|South Africa
T Natarajan|4|16|0|122|7|17.4285714285714|7.625|13.7142857142857|0|0|India
T Sangha|7|28|0|249|10|24.9|8.89285714285714|16.8|1|0|Australia
T Shamsi|65|234.4|1|1732|78|22.2051282051282|7.38068181818182|18.0512820512821|2|1|South Africa
T Stubbs|1|1|0|20|0|Inf|20|Inf|0|0|South Africa
T Thushara|6|22|0|179|7|25.5714285714286|8.13636363636364|18.8571428571429|0|0|Sri Lanka
TA Blundell|||||||||||New Zealand
TA Boult|58|219.3|2|1742|76|22.921052631579|7.93621867881549|17.3289473684211|2|0|New Zealand
TAM Siriwardana|13|23|0|206|8|25.75|8.95652173913044|17.25|0|0|Sri Lanka
TB Robinson|||||||||||New Zealand
TB de Bruyn|||||||||||South Africa
TC Bruce|||||||||||New Zealand
TD Astle|5|13|0|116|7|16.5714285714286|8.92307692307692|11.1428571428571|1|0|New Zealand
TG Southee|120|446.5|6|3635|157|23.1528662420382|8.13502424468482|17.0764331210191|2|2|New Zealand
TK Curran|29|98|1|907|29|31.2758620689655|9.25510204081633|20.2758620689655|1|0|England
TL Best|6|20|0|154|6|25.6666666666667|7.7|20|0|0|West Indies
TL Seifert|||||||||||New Zealand
TM Dilshan|25|43|0|313|9|34.7777777777778|7.27906976744186|28.6666666666667|0|0|Sri Lanka
TM Dowlin|||||||||||West Indies
TM Head|4|6|0|56|1|56|9.33333333333333|36|0|0|Australia
TR Ambrose|||||||||||England
TR Birt|||||||||||Australia
TT Bresnan|34|110.3|1|887|24|36.9583333333333|8.02714932126697|27.625|0|0|England
TWM Latham|||||||||||New Zealand
Taijul Islam|2|7|0|58|1|58|8.28571428571429|42|0|0|BAN
